comment,list of emojis,sentiment ranking,classification
💚💚🔥,"['💚', '💚', '🔥']",0.48600000000000004,Positive
💚💚💚💚,"['💚', '💚', '💚', '💚']",0.659,Positive
💚💚💚,"['💚', '💚', '💚']",0.659,Positive
💚💚💚💚,"['💚', '💚', '💚', '💚']",0.659,Positive
سفيان لاعب متواضع وخلوق وولد ناس ربي يسهل عليه وبوزبال لا داعي للاكتراث له فمرة ❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤']",0.746,Positive
👏👏,"['👏', '👏']",0.521,Positive
دبا عجبتني لسي الرمضاني تحية رجاوية من بلاد الغربة لناس تافوغالت 🔥🔥🔥,"['🔥', '🔥', '🔥']",0.14,Positive
"هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💗😢
 أنشر كورسات مدفوعة لجميع مجالات على الأنترنيت مجانا أدخل لحسابي وأنضر ان كان هذا الكلام صح أم لا😍😣","['💗', '😢', '😍', '😣']",0.28250000000000003,Positive
ديما 💚💚💚💚,"['💚', '💚', '💚', '💚']",0.659,Positive
🦅💚💚🦅👽💚🦅💚🦅👽💚,"['🦅', '💚', '💚', '🦅', '👽', '💚', '🦅', '💚', '🦅', '👽', '💚']",0.35809090909090907,Positive
❤️,['❤'],0.746,Positive
💚💚💚,"['💚', '💚', '💚']",0.659,Positive
اول مرة كاتقول شي حاجة فمحلها 👏👏👏,"['👏', '👏', '👏']",0.521,Positive
Erramdani please 🙏,['🙏'],0.418,Positive
😍😍,"['😍', '😍']",0.678,Positive
👏👏👏👏👏👏,"['👏', '👏', '👏', '👏', '👏', '👏']",0.521,Positive
😍✨,"['😍', '✨']",0.5155000000000001,Positive
👏👏👏👏,"['👏', '👏', '👏', '👏']",0.521,Positive
بغيتي تضحك و تنشط دخل شوف بوسطات و ستوريات ديالنا 😌😌😂😂,"['😌', '😌', '😂', '😂']",0.35250000000000004,Positive
💚💚💚💚💚💚💚,"['💚', '💚', '💚', '💚', '💚', '💚', '💚']",0.6589999999999999,Positive
فين عمر العتماني جاب شي خبار زينة ديما جايبهم بحال الحزب ديالو 💩,['💩'],-0.118,Negative
رائحة الحجر عاطية 😷,['😷'],-0.171,Negative
😢😮,"['😢', '😮']",0.14250000000000002,Positive
باينة غايديرو لينا .. لماذا نحن هنااااااا 😂😂,"['😂', '😂']",0.221,Positive
😄 النتيجة هي دير كمامتك و جلس فدارك,['😄'],0.422,Positive
خير اللهم اجعله خير 😄,['😄'],0.422,Positive
@akram.xvii 😨,['😨'],-0.141,Negative
كيفهمونا بالغميز... واحنا أسيدي كنفهمو بالدبيز... فكونا لواحد الجيه🤦‍♀️,"['🤦', '♀']",0.1665,Positive
🤔زعما,['🤔'],0.0,Objective / Non-conclusive
وا السي رمضاني  مدا اقول لك انسان مجتهد نفس الإسالة لس كنتمناو نطرحوها تكون سباق انت اليها صحافي في المستوى مزيد من التالق والاسترارية برافو 👍 الله اكمل,['👍'],0.522,Positive
🤦‍♂️,"['🤦', '♂']",0.1,Positive
😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂']",0.221,Positive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
ماشاء الله عليك اسي الرمضاني تعجبني برنامج ديالك مصاب لوكانوا شي 10الصحافيين بحالك في المغرب نكونوا بخير 👍🏽👍🏽مسيرة موفقة باذن الله,"['👍', '🏽', '👍', '🏽']",0.261,Positive
الاب ديالها استاد في إعدادية في تمارة ماشاء الله مربيهم أحسن تربية وهو استاد من احسن الأساتذة ❤,['❤'],0.746,Positive
متشوقين ومتشوكين لهاد الحلقة اراك لفراجة👏👏👏,"['👏', '👏', '👏']",0.521,Positive
سبحان الله أتقول تفقتوا  عليهم الإعلام كامل  هذ الأواخير طالق سمو على العدالة والتنمية  العشبي .باسو. الرمضاني... ياكما أخناتيتش عطا التعليمات 🙄🙄,"['🙄', '🙄']",0.0,Objective / Non-conclusive
حزب منحوس علا المغرب 😏😏😏,"['😏', '😏', '😏']",0.332,Positive
شكون هاذي 😲,['😲'],-0.07,Negative
Awal mra ghantfraj fchihaj man 3ndak chw9atni had l7l9a  nhar jm3a fina w9ita nchallah 🎤🎤🎤👩‍⚖👩‍⚖,"['🎤', '🎤', '🎤', '👩', '⚖', '👩', '⚖']",0.22942857142857145,Positive
chakhda clash 🤣🤣,"['🤣', '🤣']",0.0,Objective / Non-conclusive
عطاوك العضوية 🙄🤣 هذ الحلقة مشوِّقة .  تحية لسي الرمضاني برنامج فالمستوى.,"['🙄', '🤣']",0.0,Objective / Non-conclusive
احزاب سلطة ظلم كلشي و هدا ليس حجاب 😢,['😢'],0.007,Positive
القضية مشحرة اولد ما 😂😂 ارا برع بلفراشي هههه سير على الله,"['😂', '😂']",0.221,Positive
الرمضاني يقصف ولا يبالي 😂😂😂 حمدالله لا اندماج لا حليب ههههه من الحمري او فتامين 🍊🍊🍊🍊 رجعت اسم مدينة بركان او النهضة البركانية  علا كل فم مغربي او أفريقيا ولينا نعدبو من يقولو لهم تاريخ أيام الفساد فالجامعة سلات دبا مع طونطو لقجع مكان لافساد لا رشوة  لي فجعبا ديالو شي حاجة يخرجها / فوق البيضاء متقوبين الي روتور او بركان غادي تجيبلكم الثأر مالك ممرتاحش او مخلوع المقموع 😂😂😂😂😂🐒🐒🐒🐒🐒🐒🐒,"['😂', '😂', '😂', '🍊', '🍊', '🍊', '🍊', '😂', '😂', '😂', '😂', '😂', '🐒', '🐒', '🐒', '🐒', '🐒', '🐒', '🐒']",0.3869473684210528,Positive
😂😂🧡🧡,"['😂', '😂', '🧡', '🧡']",0.1105,Positive
Dima berkan 😍😍😍 o lihesedena yemote yekhebeche hhhhh,"['😍', '😍', '😍']",0.678,Positive
😂😂 kon mal9j3 ka3ma yhlmo bl kaf,"['😂', '😂']",0.221,Positive
🍋,['🍋'],0.263,Positive
🧡🧡,"['🧡', '🧡']",0.0,Objective / Non-conclusive
اللي ضربنا قاااعو ماااايهمنا صداعوو( 3-7)😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
👏,['👏'],0.521,Positive
Jibou gha serwalkoum ntouma li hazinou b 7 ou dik sa3a ta la dwitou jat m3akom 😂,['😂'],0.221,Positive
هذا نسميوه الدقان ولا شنو زعمة اسي الرمضاني جينا وااقف🤔,['🤔'],0.0,Objective / Non-conclusive
🧡🍊🍹,"['🧡', '🍊', '🍹']",0.373,Positive
"السي الرمضاني واش ديك ""الرومبا"" باقي فيها.. اللتشينة.. ولا حيدوها 😁🍊","['😁', '🍊']",0.447,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
مضاني طناز ولد اللدينا🤣,['🤣'],0.0,Objective / Non-conclusive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
😂l,['😂'],0.221,Positive
🍊🍊🍊 عطيه العصير,"['🍊', '🍊', '🍊']",0.444,Positive
نهضة بركان فرقة قوية وهدا كلام من كبار افاريقة بوتريكة وفاخر و محمد فريق عدب زمالك وصفاقص و عدب كبار اندية وعندو جماهير خارج وداخل المغرب مع ان كلام زنقاوي ردىء القجع هو سباب هدا الفريق بنجاح وشراء ماتشات ولكن دائما نهضة تلعب وتعطي في صمت وكلاب تنبح بركان خرجت مرفوعة رأس مع زمالك مع ان حكم قدم مستوى ضعيف ومع دالك نهضة لم تشكي ولم تبكي جابت كاس من قلب رباط ضد اولاد بلادها لشجعو مصر عليها خلاصة القول كتشجع ضد ولاد بلادك فراك رخيص ورخيص يخلصها غالية 4-1 فتاريخ بركان احسن بشهادة مصريين ❤️❤️,"['❤', '❤']",0.746,Positive
3la man tayda9 😂 nsaw fach kano kay hazo drapowat ta3 Raja 😂😂 melkhar makyn ghii raja💚💚💚,"['😂', '😂', '😂', '💚', '💚', '💚']",0.44,Positive
سير تحوى نتا وهاد الفريق لي كي صرف عليه بباك القجع من مال الشعب تحل لكم الفم مخيات 7 3 بقا فكركم👃🏾👃🏾👃🏾👃🏾👃🏾👃🏾👃🏾👃🏾💩💩💩💩,"['👃', '🏾', '👃', '🏾', '👃', '🏾', '👃', '🏾', '👃', '🏾', '👃', '🏾', '👃', '🏾', '👃', '🏾', '💩', '💩', '💩', '💩']",-0.0236,Negative
بقاو تقلبو على الحجر را ناس ماتو بالجوع و الدل 🤐😒,"['🤐', '😒']",-0.1875,Negative
نعم ي ابن قُرع نستسلم 😂😂😂😂 فلننزل أيدينا 😂😂😂 و تا سير تحوا نت و هاد كورونا أ راس القلوا,"['😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
😮يا ربي تلطف بعبادك,['😮'],0.278,Positive
😢,['😢'],0.007,Positive
الوالدين 💔 لي خايفين  علييييبهم  وحنا غاديين كنقراو يا ربي امتى يسدو هاد المدارس لي عندهم والدين ومراااااض💔💔 كنحاااااااول نبقى فالدار 😩😢,"['💔', '💔', '💔', '😩', '😢']",-0.1454,Negative
👎👎👎👎👎رجعتو فتخويف الناس الفروس راه عادي ا نتما مصدعينا راسنا راه كاين ما كفس منو بحال ليباتيت C كاع مكايهدرو عليه بنادم ادير الاحتياطات ديالو,"['👎', '👎', '👎', '👎', '👎']",-0.19,Negative
👏👏,"['👏', '👏']",0.521,Positive
👍👍,"['👍', '👍']",0.522,Positive
خوتي ساعدوني بي  ابوني وجيم لتصاوري حيت تبلوكيت🙏🙏🙏🙏,"['🙏', '🙏', '🙏', '🙏']",0.418,Positive
Le lien de l'application s'il vous plaît👏👏👏👏👏,"['👏', '👏', '👏', '👏', '👏']",0.521,Positive
bravo👏 Le nom de l'application svp,['👏'],0.521,Positive
واخا تكون مسابق مع الزمان 😂,['😂'],0.221,Positive
بزاف 👏👏,"['👏', '👏']",0.521,Positive
عطينا اسم بروكرامااا 😉,['😉'],0.464,Positive
28 km😒😒 wax nta Volvo...👏,"['😒', '😒', '👏']",-0.07633333333333332,Negative
بقيتو تزعموني تزعموني انت وداك سوينگا ، خرجت نتريض بكري و گريساوني، دخلت عرقان، قالو ليا موالين الدار ، جيتي مزنگ، حيدتي العگز و حيدتي الشحمة، قلت لهم حيدو البورطابل 😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂']",0.221,Positive
"{يَوْمَ تَشْهَدُ عَلَيْهِمْ أَلْسِنَتُهُمْ وَأَيْدِيهِمْ وَأَرْجُلُهُم بِمَا كَانُوا يَعْمَلُونَ}
كل الهاشتاجات دي متجمعة عايزين نحافظ على وجودهم ك ترند .
#we_love_mohammad_ﷺ_challenge﻿￼￼￼￼﻿￼﻿￼￼﻿￼￼﻿￼￼﻿﻿
#Sauf_le_messager_de_Dieu
#Sauf_le_bien_aimé_d_Allah
#Notre_religion_est_la_religion_droite_de_la_vérité
#Boycottez_les_produits_français
#الا_رسول_الله
#إلا_حبيب_الله
#ديننا_دين_الحق
#مقاطعة_المنتجات_الفرنسية
#اللَّهُمَّ_صَلِّی_عَلَی_مُحَمَّدٍ_وَّعَلَی_آلِ_مُحَمَّدِِ_challenge﻿￼￼￼￼﻿￼﻿￼￼﻿￼￼﻿￼￼﻿﻿￼﻿￼﻿﻿ 
#إلا_رسول_الله
#عذرا_رسول_الله
#مقاطعه_المنتجات_الفرنسيه
#رسولنا_خط_احمر
#الا_حبيب_الله 
#ماكرون_يسئ_النبي
#حبيبي_يارسول_الله
أنت الأحسن لا مثيل لك.. ♥️ 
םבםב رسول ٱɑɺɺ ﷺ
ليس عندنا أغلى من النبي ﷺ
#إلا_رسول_الله ﷺ
#مقاطعة_المنتجات_الفرنسية
#مقاطعة_فرنسا
#Boycott_French_Products
#Boycott_French_Products
#except_Godis_messenger",['♥'],0.658,Positive
2667😂😂,"['😂', '😂']",0.221,Positive
شنو سمية الابليكاسيون عمي رضوان🙂🙂؟؟؟؟,"['🙂', '🙂']",0.0,Objective / Non-conclusive
المشي كيداوي الجروح 💔,['💔'],-0.122,Negative
Bssaha 🙌,['🙌'],0.56,Positive
👏👏👏 زعم شوية و جرب الجري,"['👏', '👏', '👏']",0.521,Positive
"كيفاش تربح 1000 درهم من الموقع المغربي cashpub
اول حاجة غدخل تسجل فالموقع www.cashpub.ma
من بعد غيطلبو ليك الإسم و النسب و السن ...
و غادي يطلبو منك code parrainage غادي دخلو هاد الكود 402505
👈👈👈👈👈👈👈طريقة الربح وهما جوج طرق:
💎💎 الطريقة الأولى : غتفرج ف الاشهارت اليومية و اي فيديو تفرجتي فيه كتاخد عليه النقط
💎💎 الطريقة الثانية : غادي دخل اصدقاء ديالك وكاتاخد عليهم النقط فاش كيتفرجو حتى هما ف الاشهارات
💎💎 ملاحظة : فاش كتكون كتفرج فالفيديو كطلع ليك فيه واحد الكلمة cliquer ici خاصكم ضروري ضغطو عليها باش اتحسبو ليك النقط حيتاش الى ماضغطتي عليها ماغيتحسب ليك وفاش كتجمع 50000 نقطة امكن ليك تحولها لفلوس 1000 درهم وكيصيفطوها ليك ف كاش بليس.","['👈', '👈', '👈', '👈', '👈', '👈', '👈', '💎', '💎', '💎', '💎', '💎', '💎']",0.49469230769230765,Positive
Bravo 3lik ana kandir 10km a marche dans 1h 15mn 😰😰naskhaf 👍👍👍,"['😰', '😰', '👍', '👍', '👍']",0.3052,Positive
Mr erramdani vu que vous êtes un enfants de la région de l’oriental est vous êtes un journaliste utilise tin pouvoir médiatique Oujda est dans le gouffre je suis entrain de perdre de la famille des amis aucune assistance médicale tous ce qu’on reçoit de rabat c’est les cercueils ⚰️ besoin d’énormément de chose bien les grands nom de la région que ça soit élus nouveau ou ancien n’ont besoin de rien sans cité les noms la régions est oublié par RABAT est ce qu’on va chercher de l’aide chez nos voisin ou on est considéré comme telle ou ou ou ????? Allah yltef mon pays me déçoit de jour en jour on envoi de l’aide à l’étranger or qu’on est même pas capable de subvenir à nos propre besoin 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 On veut de l’aide,"['⚰', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡']",-0.16282352941176473,Negative
الله يعطيك الصحة برافو 🤗🤗👍🏻👍🏻,"['🤗', '🤗', '👍', '🏻', '👍', '🏻']",0.17400000000000002,Positive
👏👏 bravo Macha'allah,"['👏', '👏']",0.521,Positive
هكاك مزيان كمل راه بانت لبا ممكملاش مع مول الشعر تلقاك شديتي الفورما 😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
انا178😂,['😂'],0.221,Positive
👌waw,['👌'],0.564,Positive
👍👍😷😷,"['👍', '👍', '😷', '😷']",0.1755,Positive
برافو👏👏,"['👏', '👏']",0.521,Positive
ناقص 30 دراهم على اي كوموند من ماكدونالد 🍔🍟 يجيك تال الدار عاد تخلص الطريقة فالسطوريات,"['🍔', '🍟']",0.2995,Positive
"🍟🍔🌮😍🍗🧀🍽
♡ناقص 30 درهم على اي كوموند من Mcdonalds او kfc او burger king او carrefour و تجيك تال الدار او الخدمة عاد تخلص بلا ما تزيد تا درهم و كا يبقاو تال 8  دالليل . مثلا menu ديال 50 درهم تاخدو غير ب 20 درهم 
الطريقة : 👇
1- غا تدخل تطبيق  jumia food 👌
2-غا تشوف المطعم لي بغيتي كاين كلشي 🍽
3 -فاش تبغي دوز الكوموند غا يعطيوك تكتب واحد الكود 《 غا تلقى الطريقة فالسطوريات 》 غا تكتب ● AMB-ADN ●غا ينقصوا ليك 30 دراهم من الكوموند باحتساب التوصيل 😍😍 بلا ما تزيد تا درهم .
4- و لي هي اهم حاجة بالصحة و الراحة 🍔🍟🔥🍟🍔
🍟🍔
🍟🍔🍔🍔🍔🍔🍔🍔🍔🍔🍔🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍔🍔🍔🍔🍔🍔🍔
🍔🍔🍔🍔🍟🍟🍟🍟🍟🍔
-----------------------------♡ ----------------------------------","['🍟', '🍔', '🌮', '😍', '🍗', '🧀', '🍽', '👇', '👌', '🍽', '😍', '😍', '🍔', '🍟', '🔥', '🍟', '🍔', '🍟', '🍔', '🍟', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍟', '🍟', '🍟', '🍟', '🍟', '🍟', '🍟', '🍟', '🍟', '🍟', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍔', '🍟', '🍟', '🍟', '🍟', '🍟', '🍔']",0.294,Positive
بقا تشرح ها عار ربي😒😒😒😒,"['😒', '😒', '😒', '😒']",-0.375,Negative
فنظركم شكون لي غادي ياخد هاد المنح 🤔😂,"['🤔', '😂']",0.1105,Positive
يارب أرزق اليد التي تتابعني فرحة تغير حياته للأبد ❤,['❤'],0.746,Positive
بعیدا علی البوسط اللی حطیتی رانی عاد فقت اش واقع تعداو علیك الرمضاني اش هادشي فینما ندور لقا درۃ التونسیۃ 😅😅😅😅 @ridouane_erramdani,"['😅', '😅', '😅', '😅']",0.18,Positive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
